registry_id,coop_name,incorporation_year,address,city,province,postal_code,non_profit_and_profit,type
3252423,HERITAGE BOAT YARD COOPERATIVE LIMITED,2-Mar-11,"PO Box 672, 30 School Street",Mahone Bay,NS,B0J 2E0,N,SERVICES
3039461,HERITAGE CAPE BRETON CONNECTION CO-OPERATIVE LTD.,14-Jan-00,"PO Box 1791, Station A",Sydney,NS,B1P 6J4,N,SERVICES
3287240,HERMES ART GALLERY CO-OPERATIVE LIMITED,20-Feb-15,"5682 North Street, #101",Halifax,NS,B3K 1N4,N,CRAFT PRODUCTS
1351872,HIGH HOPES HOUSING CO-OPERATIVE LIMITED,7-Oct-80,"PO BOX 3307, QUINPOOL RPO",HALIFAX,NS,B3L 4T6,N,HOUSING
1780845,HIGHFIELD PARK HOUSING CO-OPERATIVE LIMITED,30-Apr-87,43K Joseph Young Street,Dartmouth,NS,B3A 4S7,N,HOUSING
1450953,HIGHLAND HOUSING CO-OPERATIVE LIMITED,1-Feb-82,25 - 86 ST. NINIAN ST.,ANTIGONISH,NS,B2G 1Y8,N,HOUSING
3270137,HOME HEIRLOOMS CO-OPERATIVE LIMITED,18-Feb-13,2840 WINDSOR ST.,HALIFAX,NS,B3K 5E6,N,SERVICES
3058182,HONESTWORKINGPEOPLE.COM CO-OPERATIVE LIMITED,11-Jul-01,2502 Kings Road,Sydney Forks,NS,B1L 1A1,P,SERVICES
3308208,HOPE PROJECT ADDICTION RECOVERY SERVICES CO-OPERATIVE LIMITED,1-Jun-17,12 WATSON ROAD,POINT EDWARD HWY,NS,B2A 4P7,N,SERVICES
3294675,HOPE SEEDS CO-OPERATIVE LIMITED,9-Dec-15,PO BOX 460,ANNAPOLIS ROYAL,NS,B0S 1A0,P,AGRICULTURE
3223356,HUBBARDS NURSERY SCHOOL CO-OPERATIVE LIMITED,25-Oct-07,10089 St. Margarets Bay Road,Hubbards,NS,B0J 1T0,N,SERVICES
1569442,HUBTOWN HOUSING CO-OPERATIVE LIMITED,6-Apr-84,BOX 25048,TRURO,NS,B2N 7B8,N,HOUSING
1350664,HUNTINGTON POINT WATER CO-OPERATIVE ASSOCIATION LIMITED,20-Jun-75,PO BOX 295,CANNING,NS,B0P 1H0,P,SERVICES
3080046,INVESTING IN NOVA SCOTIA ENTERPRISES CO-OPERATIVE LIMITED,14-Jul-03,Box 1872,Truro,NS,B2N 6C7,N,INVESTMENT
1568509,JOE MACISAAC HOUSING CO-OPERATIVE LIMITED,14-May-84,P.O. BOX 6943,PORT HAWKESBURY,NS,B9A 2W2,N,HOUSING
1727308,JOHN HUGH MACKENZIE HOUSING CO-OPERATIVE LIMITED,24-Jul-86,102-5293 Green Street,Halifax,NS,B3H 1N6,N,HOUSING
1862763,JOHNSTOWN COMMUNITY DEVELOPMENT CO-OPERATIVE LIMITED,26-Apr-88,132 NORTH POND LANE,JOHNSTOWN,NS,B0E 3B0,N,SERVICES
2537013,JUST US! COFFEE ROASTERS CO-OPERATIVE LIMITED,7-Mar-96,11865 Highway #1,HORTONVILLE,NS,B4P 2R3,P,WORKER LABOUR
3063161,JUST US! FAIR TRADE INVESTMENT CO-OPERATIVE LIMITED,7-Jan-02,11865 HIGHWAY #1,HORTONVILLE,NS,B4P 2R3,N,WORKER LABOUR
1433232,KABUKI HOUSING CO-OPERATIVE LIMITED,13-Apr-82,2473 AGRICOLA ST.,HALIFAX,NS,B3K 4C3,N,HOUSING
3252167,KAZAN CO-OP LTD.,18-Feb-11,1772 Oxford Street,Halifax,NS,B3H 3Z6,N,SERVICES
1351078,KENT CO-OPERATIVE LIMITED,10-Feb-70,9319 COMMERCIAL STREET,NEW MINAS,NS,B4N 3G2,P,RETAIL CONSUMER PRODUCTS
3318648,KICK AT THE DARK THEATRE CO-OPERATIVE LIMITED,18-Jun-18,209-1 RICHMOND STREET,DARTMOUTH,NS,B3A 4R1,N,SERVICES
3167235,KING'S BOOKSTORE CO-OPERATIVE LIMITED,8-Aug-06,6350 Coburg Road,Halifax,NS,B3H 2A1,P,RETAIL CONSUMER PRODUCTS
3278800,KLMPT HOUSE CO-OP LIMITED,20-Feb-14,2153 HWY #1,ANNAPOLIS ROYAL,NS,B0S 1A0,P,HOUSING
1396297,LA CO-OPERATIVE CHARLES FOREST LTEE,24-Apr-81,Box 3500,Arichat,NS,B0E 1A0,P,RETAIL CONSUMER PRODUCTS
1351232,LA CO-OPERATIVE DE CHETICAMP LIMITEE,4-Mar-37,PO BOX 40,CHETICAMP,NS,B0E 1H0,P,RETAIL CONSUMER PRODUCTS
3246424,LA COOPÉRATIVE DE TRANSPORT DE CHÉTICAMP LIMITÉE,18-Jun-10,C.P. 1039,Cheticamp,NS,B0E 1H0,N,SERVICES
2056510,LA COOPERATIVE RADIO CHETICAMP LIMITEE,27-Feb-92,P.O. BOX 699,Cheticamp,NS,B0E 1H0,N,SERVICES
3046326,LA CO-OPERATIVE RADIO RICHMOND LIMITEE,27-Jun-00,P.O. Box 250,Petit De Grat,NS,B0E 2L0,N,SERVICES
3074367,LA RÉSIDENCE ACADIENNE CO-OPERATIVE LIMITED,15-Jan-03,BOX 159,Cheticamp,NS,B0E 1H0,P,SERVICES
3288944,LAHAVE CRAFT COOPERATIVE LIMITED,16-Apr-15,PO Box 731,Lunenburg,NS,B0J 2C0,N,CRAFT PRODUCTS
1360598,LAMPLIGHT HOUSING CO-OPERATIVE LIMITED,9-May-80,"PO Box 844, Station M",Halifax,NS,B3J 2V2,N,HOUSING
3319912,LANDING STRONG CO-OPERATIVE LIMITED,8-Aug-18,P.O. BOX 397,WINDSOR,NS,B0N 2T0,N,WORKER LABOUR
1925502,LANDVIEW HOUSING CO-OPERATIVE LIMITED,15-Dec-89,C/O COMMUNITY HOUSING MANAGEMENT NETWORK: 207-59 INGLIS PLACE,TRURO,NS,B2N 4B5,N,HOUSING
3301326,LAWRENCETOWN COMMUNITY DEVELOPMENT CO-OPERATIVE LTD.,19-Jul-16,"108 LAWRENCETOWN LANE, RR1",LAWRENCETOWN,NS,B0S 1M0,P,INVESTMENT
1692488,LE MANOIR SAINT-PIERRE HOUSING COOPERATIVE LIMITED,6-Jun-86,BOX 1006,Cheticamp,NS,B0E 1H0,N,HOUSING
3335677,LEADING EDGE COMMUNITY DEVELOPMENT CONSULTANTS CO-OPERATIVE LIMITED,4-Mar-20,89 CRAIGVIEW DRIVE,GLENHAVEN,NS,B3Z 2S5,P,SERVICES
1517465,LEMOYNE COOPERATIVE SOCIETY LIMITED,26-May-37,PO BOX 39,St. Joseph de Moine,NS,B0E 3A0,P,RETAIL CONSUMER PRODUCTS
3321514,LIFE. SCHOOL. HOUSE CO-OPERATIVE LIMITED,9-Oct-18,315 PORTLAND ST,DARTMOUTH,NS,B2Y 1K3,N,SERVICES
1351438,LITTLE HARBOUR PASTURE CO-OPERATIVE LIMITED,10-Aug-77,PO Box 62,"L'Ardoise, Richmond Co",NS,B0E 1S0,P,SERVICES
1351454,LITTLE POND CO-OPERATIVE LIMITED,13-Sep-79,111 Little Pond Lane,Lawrencetown,NS,B2Z 0A4,P,HOUSING
3302530,LOCHABER GROWERS COOPERATIVE LTD.,18-Oct-16,"QUINN FARM, 1772 HWY 7",NORTH LOCHABER,NS,B2G 2L3,N,AGRICULTURE
1812768,LONGHOUSE HOUSING CO-OPERATIVE LIMITED,7-Oct-87,"PO Box 152, DMPS",Dartmouth,NS,B2Y 3Y3,N,HOUSING
1424852,LORENTCHIA HOUSING CO-OPERATIVE LIMITED,28-Aug-81,"77 HIGHLAND DR, C24",ANTIGONISH,NS,B2G 1P4,N,HOUSING
1720641,LOWER ARGYLE FISHERMAN'S CO-OPERATIVE LIMITED,20-Oct-86,81 Camp Cove Road,Lower Argyle,NS,B0W 1W0,P,FISH PRODUCTS
1592477,LOYALIST HOUSING CO-OPERATIVE LIMITED,20-Aug-84,PO Box 152 DMPS,Dartmouth,NS,B2Y 3Y3,N,HOUSING
3000912,LUNENBURG BALSAM FIR COOPERATIVE LTD.,24-Jul-96,BOX 485,Bridgewater,NS,B4V 2X6,P,FOREST PRODUCTS
3289866,MABOU FARMERS MARKET COOPERATIVE LIMITED,1-Jun-15,Box 155,Mabou,NS,B0E 1X0,N,AGRICULTURE
3087131,MACNEIL BARRACHOIS COTTAGE CO-OPERATIVE LIMITED,2-Mar-04,124 Edgehill Drive,Valley,NS,B6L 3K3,P,INVESTMENT
1352019,MAPLE BROOK CO-OPERATIVE PASTURE LIMITED,20-Jul-65,590 MACINTYRE MOUNTAIN ROAD,KINGSVILLE,NS,B0E 3L0,P,SERVICES
1352022,MARGAREE CO-OPERATIVE SOCIETY LIMITED,27-Jan-37,Box 549,Margaree Forks,NS,B0E 2A0,P,RETAIL CONSUMER PRODUCTS
3225644,MARGAREE TOURISM ASSOCIATION CO-OPERATIVE LIMITED,28-Jan-08,PO Box 527,Margaree Forks,NS,B0E 2A0,N,WORKER LABOUR
1389302,MARIA'S HOUSING CO-OPERATIVE LIMITED,30-Apr-82,PO BOX 152 DMPS,DARTMOUTH,NS,B2Y 3Y3,N,HOUSING
3256149,MARITIME HOP GROWERS CO-OPERATIVE LIMITED,27-Jul-11,35 MCINNIS ROAD,WALLACE RIDGE,NS,B0K 1E0,P,AGRICULTURE
1695123,MCINTOSH RUN HOUSING CO-OPERATIVE LIMITED,7-Jul-86,"c/o Pathways Housing Services, 
PO Box 152 DMPS",Dartmouth,NS,B2Y 3Y3,N,HOUSING
3280607,MEDWAY COMMUNITY FOREST CO-OPERATIVE LTD.,30-Apr-14,PO BOX 157,CALEDONIA,NS,B0T 1B0,P,FOREST PRODUCTS
3247949,MELVILLE DRIVE CO-OPERATIVE LTD.,24-Aug-10,62 Melville Drive,Brookfield,NS,B0N 1C0,N,SERVICES
3095186,MERSEY TOBEATIC RESEARCH INSTITUTE CO-OPERATIVE LIMITED,5-Nov-04,Box 215,Caledonia,NS,B0T 1B0,N,WORKER LABOUR
3238229,MIDDLETON FARMERS' MARKET COOPERATIVE LIMITED,8-Jul-09,"c/o 6160 Highway 10, RR #3",Middleton,NS,B0S 1P0,N,AGRICULTURE
1354602,MINAS SEED CO-OPERATIVE LIMITED,6-Apr-67,"9483 Hwy #221, RR#5",Canning,NS,B0P 1H0,P,AGRICULTURE
3008924,MINUDIE PASTURE COOPERATIVE LIMITED,29-May-97,80 LITTLE DYKE ROAD,GREAT VILLAGE,NS,B0M 1L0,P,SERVICES
1352257,MIRA PASTURE CO-OPERATIVE LIMITED,3-Mar-77,835 MacKeigan Road,Big Ridge,NS,B1K 3Y8,P,SERVICES
3095421,MUD CREEK MEDICAL CO-OPERATIVE LIMITED,8-Nov-04,220-21 ROY AVENUE,NEW MINAS,NS,B4N 3R7,P,WORKER LABOUR
3260806,MUSGO RIDER COOPERATIVE LTD.,8-Feb-12,325 PORTERS LAKE STATION ROAD,PORTERS LAKE,NS,B3E 1J9,N,SERVICES
3296525,MUSGO RIDER VALLEY-SHEET HARBOUR COOPERATIVE LTD.,14-Jan-16,325 PORTERS LAKE STATION ROAD,PORTERS LAKE,NS,B3E 1J9,N,SERVICES
3328620,MUSIC IN COMMUNITIES COOPERATIVE LTD.,17-Jun-19,"979 SEMINARY AVENUE, PO BOX 429",CANNING,NS,B0P 1H0,N,SERVICES
3234142,MUSQUODOBOIT HARBOUR FARMERS MARKET CO-OPERATIVE LTD.,22-Jan-09,22 DeBaies Cove Road,Lake Charlotte,NS,B0J 1Y0,N,AGRICULTURE
3307061,MUTUAL ALLIANCE CO-OPERATIVE LIMITED,25-Apr-17,9877 LONGWOODS RD,CHATHAM,ON,N7M 5J7,P,INVESTMENT
3294154,NATURA HOLDINGS CO-OP LTD.,25-Nov-15,73-B Prince Street,Bridgewater,NS,B4V 1C9,P,HOUSING
3267523,NEEDHAM HOUSING CO-OPERATIVE LIMITED,7-Nov-12,C/O COMMUNITY HOUSING MANAGEMENT NETWORK: 207-59 INGLIS PLACE,Truro,NS,B2N 4B5,N,HOUSING
1352120,NEIL'S HARBOUR CO-OPERATIVE LIMITED,29-Oct-65,PO Box 47,Neil's Harbour,NS,B0C 1N0,P,RETAIL CONSUMER PRODUCTS
3299778,NEUROQUALIA CO-OPERATIVE LTD.,8-Jun-16,"ROOM 229A, FORRESTER HALL, 36 ARTHUR ST",TRURO,NS,B2N 1X5,N,SERVICES
3217679,NEW ARMDALE WESTSIDE HOUSING CO-OPERATIVE LIMITED,16-May-07,PO BOX 152 DMPS,DARTMOUTH,NS,B2Y 3Y3,N,HOUSING
3270325,NEW EDINGBURGH ARTIST'S COLONY CO-OP LTD.,1-Mar-13,81 Lincoln Avenue,Portsmouth,New Hampshire,38014426,N,CRAFT PRODUCTS
3238983,NEW GLASGOW FARMERS MARKET COOPERATIVE LIMITED,18-Aug-09,261 GLASGOW STREET,New Glasgow,NS,B2H 5C2,N,AGRICULTURE
3177313,NEW ROSS COUNTRY MARKET CO-OP LIMITED,13-Sep-06,C/O 700 Hwy 12,Blue Mountain,NS,B4N 3V8,N,AGRICULTURE
3308322,NEWCAPELAND PROPERTIES CO-OP LTD.,30-May-17,9877 LONGWOODS RD,CHATHAM,ON,N7M 5J7,P,SERVICES
1443682,NEWFIE HOUSING CO-OPERATIVE LIMITED,26-Oct-81,"c/o Community Housing Management Network
207 - 59 Inglis Place",Truro,NS,B2N 4B5,N,HOUSING
1568607,NORTH BAY FISHERMEN'S CO-OPERATIVE ASSOCIATION LIMITED,30-Mar-84,26 WHARF RD.,BALLANTYNE'S COVE,NS,B2G 2L2,P,FISH PRODUCTS
1352175,NORTH NOVA FOREST OWNERS CO-OPERATIVE LIMITED,30-Apr-76,11986 HIGHWAY #4,WENTWORTH,NS,B0M 1Z0,P,FOREST PRODUCTS
3293293,NORTH QUEENS BUSINESS CENTRE & INNOVATION HUB CO-OP LTD.,28-Sep-15,PO BOX 186,CALEDONIA,NS,B0T 1B0,N,SERVICES
3295767,NORTH STAR YACHT CLUB CO-OPERATIVE LTD.,3-Feb-16,2858 PURCELLS COVE ROAD,HALIFAX,NS,B3V 1G3,N,SERVICES
1354673,NORTH WEST ARM HOUSING CO-OPERATIVE LIMITED,4-Nov-80,4 Dekker Street,Halifax,NS,B3R 1M4,N,HOUSING
3021980,NORTHUMBERLAND FISH COOPERATIVE LIMITED,19-Aug-98,BOX 166,RIVER JOHN,NS,B0K 1N0,P,FISH PRODUCTS
1417369,NORTHUMBERLAND LAMB MARKETING CO-OPERATIVE LIMITED,16-Mar-82,24 Brookside Branch Rd.,Bible Hill,NS,B6L 2A6,P,AGRICULTURE
1876426,NOVA HEIGHTS CONTINUING HOUSING CO-OPERATIVE LIMITED,20-Jun-88,37 STUART STREET,SYDNEY,NS,B1P 6Y8,N,HOUSING
1352215,NOVA SCOTIA ANIMAL BREEDER'S CO-OPERATIVE LTD.,12-May-45,4060 Route 236,TRURO,NS,B6L 1J9,P,RETAIL CONSUMER PRODUCTS
3291314,NOVA SCOTIA CO-OPERATIVE COUNCIL LIMITED,14-Jul-15,PO Box 1872,Truro,NS,B2N 6C7,N,SERVICES
3230729,NOVA SCOTIA FARMERS' MARKET DEVELOPMENT COOPERATIVE LTD.,29-Aug-08,25 Highland Drive,Truro,NS,B2N 1B8,N,INVESTMENT
3339122,NOVALEA FARMERS' MARKET CO-OPERATIVE LIMITED,14-Jul-20,3540 NOVALEA DR.,HALIFAX,NS,B3K 3E8,N,AGRICULTURE
3325554,NOWLC-NET COOPERATIVE LIMITED,12-Mar-19,197 WILES LAKE ROAD,WILEVILLE,NS,B4V 5L7,P,SERVICES
3246517,OFF THE HOOK COOPERATIVE LTD.,23-Jun-10,2705 Fern Lane,Halifax,NS,B3K 4L3,P,FISH PRODUCTS
3058103,OIKOCREDIT CANADA ATLANTIC CO-OPERATIVE LIMITED,9-Jul-01,25 Graham Street,Dartmouth,NS,B3A 3H9,N,INVESTMENT
3004733,OLD RAILWAY CABINS COOPERATIVE LTD.,16-Jan-97,"138 Canaan Road, RR #1",Aylesford,NS,B0P 1C0,P,SERVICES
3329714,OSPREY RIDGE WINERY CO-OP LTD.,8-Aug-19,714 KING ST.,BRIDGEWATER,NS,B4V 1B4,N,AGRICULTURE
1352231,OVO CO-OPERATIVE LIMITED,21-Nov-75,6155 Lawrence Street,Halifax,NS,B3L 1J7,N,HOUSING
3289711,PAN CAPE BRETON FOOD HUB CO-OPERATIVE LTD.,27-May-15,PO Box 849,Baddeck,NS,B0E 2B0,N,AGRICULTURE
3162613,PARRSBORO WELLNESS CENTRE CO-OP LTD.,10-Jul-06,Box 868,Parrsboro,NS,B0M 1S0,N,SERVICES
3094178,PATHWAYS HOUSING SERVICES CO-OPERATIVE LTD.,5-Oct-04,PO Box 152 DMPS,Dartmouth,NS,B2Y 3Y3,P,SERVICES
1352260,PATURAGE CO-OPERATIF DE CHETICAMP LIMITE,10-Apr-62,PO Box 104,Grand Etang,NS,B0E 1L0,P,SERVICES
3065444,PEER GALLERY CO-OPERATIVE LIMITED,25-Mar-02,c/o PO Box 52,Lunenburg,NS,B0J 2C0,P,RETAIL CONSUMER PRODUCTS
4200370,PICTOU COUNTY EMERGENCY PHYSICIANS CO-OPERATIVE  LIMITED,19-Mar-21,835 EAST RIVER ROAD,NEW GLASGOW,NS,B2H 3S6,P,WORKER LABOUR
3089795,PINE HAVEN WATER CO-OPERATIVE LIMITED,11-May-04,PO Box 33,Coldbrook,NS,B4R 1C5,P,SERVICES
3292144,PLANIFAX PRODUCTION CO-OPERATIVE LIMITED,1-Sep-15,7-76 ELM STREET,BRIDGEWATER,NS,B4V 2V4,N,MISCELLANEOUS
1352300,POMQUET CO-OPERATIVE LIMITED,4-Mar-36,RR #7,Pomquet,NS,B2G 2L4,P,RETAIL CONSUMER PRODUCTS
1352313,PORT HOOD COOPERATIVE LIMITED,28-Mar-38,PO BOX 10,PORT HOOD,NS,B0E 2W0,P,RETAIL CONSUMER PRODUCTS
3141711,PORT HOOD RV CO-OPERATIVE LIMITED,4-Apr-06,45 Wharf Road,Port Hood,NS,B0E 2W0,P,INVESTMENT
3279073,PRIVATEER FARMERS MARKET CO-OPERATIVE LIMITED,28-Feb-14,4946 Highway 8,Middlefield,NS,B0T 1E0,N,AGRICULTURE
1548378,PRIVATEER HOUSING CO-OPERATIVE LIMITED,1-Dec-83,PO Box 152 DMPS,Dartmouth,NS,B2Y 3Y3,N,HOUSING
1360612,PUGWASH CO-OPERATIVE LIMITED,2-Aug-45,Po Box 399,Pugwash,NS,B0K 1L0,P,RETAIL CONSUMER PRODUCTS
3161312,PUGWASH FARMERS' MARKET CO-OPERATIVE LIMITED,4-Jul-06,P.O. Box 197,Pugwash,NS,B0K 1L0,N,AGRICULTURE
3323312,QUEENS OF THE GLAMAZON CO-OPERATIVE LIMITED,7-Dec-18,408- 960 BARRINGTON STREET,HALIFAX,NS,B3H 2P7,N,SERVICES
3251756,RED BRICK ROW INVESTMENT CO-OPERATIVE LIMITED,28-Jan-11,PO BOX 1201,SYDNEY,NS,B1P 6J9,P,INVESTMENT
3296528,RED CLAY CONSERVATION COOPERATIVE LIMITED,26-Jan-16,4715 HIGHWAY #2,UPPER ECONOMY,NS,B0M 1B0,P,SERVICES
3021538,RICHMOND COMMUNITY MANAGEMENT FISHERY CO-OPERATIVE LIMITED,28-Jul-98,P.O. Box 57,Arichat,NS,B0E 1A0,N,FISH PRODUCTS
3313807,RIVARD'S LUMBER & HARDWARE CO-OP LTD.,21-Dec-17,9877 LONGWOODS RD,CHATHAM,ON,N7M 5J7,P,FOREST PRODUCTS
3234987,RIVERFEST CO-OP LIMITED,20-Feb-09,2319 LOWER BRANCH RD,NEW CANADA,NS,B4V 4V7,N,WORKER LABOUR
1501024,ROCKY ROAD HOUSING CO-OPERATIVE LIMITED,11-Apr-83,PO Box 152 DMPS,Dartmouth,NS,B2Y 3Y3,N,HOUSING
1381982,ROGERS DRIVE HOUSING CO-OPERATIVE LTD.,20-Mar-81,"c/o Pathways Housing Services, 
PO Box 152 DMPS",Dartmouth,NS,B2Y 3Y3,N,HOUSING
1445622,ROOFTOPS HOUSING CO-OPERATIVE LIMITED,6-May-82,PO BOX 152 DMPS,Dartmouth,NS,B2Y 3Y3,N,HOUSING
3247429,SADUKE HOUSING CO-OPERATIVE LIMITED,1-Aug-10,"PO Box 152, DMPS",Dartmouth,NS,B2Y 3Y3,N,HOUSING
1511056,SAMSON CO-OPERATIVE LIMITED,7-Jun-83,5 Samson Court,New Glasgow,NS,B2H 5N9,N,HOUSING
1352440,SCOTIAN GOLD CO-OPERATIVE LIMITED,5-Jul-57,2900 LOVETT ROAD,COLDBROOK,NS,B4R 1A6,P,AGRICULTURE
1352453,SCOTSBURN CO-OPERATIVE SERVICES LIMITED,7-Jan-46,PO Box 1068,Truro,NS,B2N 5B9,P,AGRICULTURE
